Fixed_asset,Current_assets,Liabilities,Net_turnover,Personal_expenses,Amortisation
441.342,110.453,163.799,748.945,39.858,53.313
0.237,0.235,0.186,0.049,0.008,0.023
199.36,69.119,100.442,422.836,23.887,23.729
132.647,32.837,61.944,149.005,20.436,11.567
333.609,42.993,155.705,140.74,51.934,15.709
24.058,37.666,37.68,89.821,9.091,2.917
0.62,0.942,0.586,2.124,0.286,0.087
262.187,515.683,501.813,1196.942,114.077,24.699
7.56,29.619,27.391,74.857,5.862,1.47
321.512,169.795,249.33,218.1,22.101,7.562
15.67,10.564,7.943,18.235,4.109,0.837
36.092,68.746,68.978,149.379,15.798,3.889
18.849,45.818,34.196,112.649,15.881,2.697
4.713,8.043,7.719,22.411,3.142,0.412
18.86,73.565,68.587,131.977,19.064,2.856
11.591,29.736,24.23,75.177,10.314,1.423
0.529,1.86,1.667,5.492,0.714,0.108
2.802,6.593,6.694,19.384,1.878,0.44
2.363,6.214,5.925,18.581,1.779,0.395
3.431,6.996,6.787,20.999,3.518,0.654
12.978,18.881,19.986,43.271,5.176,1.398
4.789,3.922,3.827,10.353,1.877,0.921
240.437,459.867,503.595,1879.14,60.04,31.316
22.068,27.975,31.073,91.368,11.836,2.63
33.748,101.218,79.004,262.267,13.591,3.395
3.811,5.723,6.726,16.185,0.754,0.3
66.503,45.44,70.851,402.571,12.751,5.801
11.126,27.803,28.369,87.201,2.592,1.04
62.166,230.982,216.381,738.214,3.314,4.174
3.532,10.396,10.038,36.859,1.379,0.367
6.857,26.621,20.461,70.371,5.317,1.207
3.931,7.82,8.097,18.645,1.459,0.435
12.005,11.113,11.196,21.979,1.533,1.452
3.816,11.431,10.234,39.658,2.098,0.4
12.953,47.479,40.316,103.794,8.2,2.111
45.402,53.815,67.92,118.833,7.365,4.666
31.932,128.329,113.624,388.878,8.447,2.609
2.155,3.403,4.046,15.003,0.867,0.218
4.499,20.753,19.075,92.205,1.234,0.613
0.233,0.945,0.801,3.039,0.153,0.04
19.751,32.023,35.035,147.861,4.309,1.54
18.188,20.872,25.506,104.994,3.86,1.314
